gender,emphasishealth,hoursofsleep,strongphysical,strongmind,controlhabits,tobacconicotineuser,percentusetobacco,ecigsvape,cigaretteproblem,vapeecigproblem
Male,10,SevenOrLess,87,86,92,No,11,25,No,No
Female,8,EightPlus,75,100,100,No,71,78,No,Yes
Male,9,EightPlus,83,85,53,Yes,20,35,No,No
Female,7,SevenOrLess,54,62,58,Yes,48,79,No,Yes
Female,8,SevenOrLess,64,100,47,No,71,73,Yes,Yes
Male,8,SevenOrLess,72,96,57,No,39,72,No,Yes
Female,7,SevenOrLess,70,93,72,No,25,75,Yes,Yes
Female,7,EightPlus,91,85,100,No,68,68,No,Yes
Female,9,EightPlus,87,100,44,No,51,93,No,Yes
Male,7,EightPlus,57,78,84,Yes,28,13,No,No
Female,5,SevenOrLess,67,100,69,No,74,72,Yes,Yes
Male,10,SevenOrLess,100,100,41,No,28,73,Yes,Yes
Female,8,SevenOrLess,86,90,65,Yes,64,51,No,No
Female,7,EightPlus,73,73,74,No,13,25,No,Yes
Female,3,SevenOrLess,100,100,100,Yes,100,100,Yes,Yes
Female,4,SevenOrLess,28,100,0,No,33,55,No,No
Male,5,EightPlus,31,65,33,No,6,31,No,Yes
Female,8,SevenOrLess,57,100,71,No,45,78,Yes,Yes
Male,7,SevenOrLess,39,75,36,No,33,80,No,Yes
Female,2,SevenOrLess,16,100,65,No,26,43,No,No
Female,7,SevenOrLess,56,78,78,No,41,83,No,Yes
Female,5,SevenOrLess,65,86,73,No,60,78,No,Yes
Male,8,SevenOrLess,92,100,75,No,26,11,Yes,Yes
Female,7,EightPlus,47,83,62,No,77,76,No,Yes
Male,7,EightPlus,78,82,41,No,18,21,Yes,Yes
Female,5,SevenOrLess,47,99,100,No,34,71,No,Yes
Male,7,SevenOrLess,69,98,26,Yes,22,23,No,No
Male,6,SevenOrLess,50,86,37,No,31,18,No,No
Female,7,SevenOrLess,37,100,33,No,68,84,Yes,Yes
Male,8,SevenOrLess,97,99,75,No,23,12,No,Yes
Male,8,SevenOrLess,100,100,100,Yes,40,95,No,Yes
Female,7,SevenOrLess,63,83,100,No,18,48,No,Yes
Female,7,SevenOrLess,60,83,50,Yes,10,27,No,No
Female,7,SevenOrLess,87,57,84,No,61,100,Yes,Yes
Male,10,SevenOrLess,94,92,77,No,65,72,Yes,Yes
Male,8,SevenOrLess,86,100,73,Yes,32,81,No,Yes
Female,9,SevenOrLess,68,91,96,No,55,57,No,Yes
Female,7,SevenOrLess,59,81,38,No,60,67,No,Yes
Female,9,EightPlus,86,88,84,No,23,68,Yes,Yes
Female,8,SevenOrLess,77,84,64,No,41,30,Yes,Yes
Female,8,EightPlus,80,89,82,Yes,5,24,No,No
Female,6,SevenOrLess,68,100,71,No,69,82,Yes,Yes
Female,10,EightPlus,62,100,61,No,61,61,Yes,Yes
Female,10,SevenOrLess,88,91,100,No,50,82,Yes,Yes
Female,5,EightPlus,69,86,75,No,50,84,No,Yes
Female,8,EightPlus,86,87,87,No,75,77,No,Yes
Female,10,EightPlus,96,84,89,No,42,28,No,Yes
Male,8,EightPlus,62,62,99,No,63,39,No,Yes
Female,4,EightPlus,30,62,60,No,6,12,Yes,Yes
Female,5,SevenOrLess,25,74,23,No,49,70,No,Yes
Female,8,EightPlus,79,80,100,No,52,74,No,Yes
Female,8,SevenOrLess,69,72,59,No,60,70,No,No
Female,7,SevenOrLess,39,69,74,No,34,61,No,Yes
Female,3,SevenOrLess,2,54,70,No,32,22,No,Yes
Male,9,SevenOrLess,99,100,97,No,67,69,Yes,Yes
Male,8,EightPlus,74,80,69,No,62,72,Yes,Yes
