GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
16000US0606000,"Berkeley city, California",City,31.5,58.8,2.44,95360,5.2,1.2,5.4,18.7,2.6,35,55.1,56.1,2.2,94.6,0,Lowest,Lowest
16000US0608786,"Buena Park city, California",City,41.1,85.9,3.19,87378,3.8,7.7,4.9,6.4,7.4,68.2,27.1,31.5,4.6,94.6,0,Lowest,Medium
16000US0608954,"Burbank city, California",City,40.6,63.7,2.36,73613,3.9,4.8,17,10.7,6.6,41.1,34.1,39.4,3.6,86.8,0,Lowest,Medium
16000US0610046,"Camarillo city, California",City,43.7,67,2.54,90290,3,4.7,8.7,7.3,8.3,50.6,25.8,32.5,10,94.3,0,Lowest,Medium
16000US0611194,"Carlsbad city, California",City,44.6,59.1,2.55,123409,3.3,6.1,3.8,4.8,4.6,57,24.8,32.5,7.1,94.9,0,Lowest,Lowest
16000US0611390,"Carmichael CDP, California",City,39.2,75,2.48,68377,7.6,10,5.2,8.9,9.1,43.8,27.5,32.4,6.2,91.2,0,Medium_Low,Medium
16000US0611530,"Carson city, California",City,43.8,80.8,3.54,84502,5.4,12.3,11.6,7.1,7.6,58,34.4,38.5,5.4,92.9,0,Lowest,Medium
16000US0613014,"Chico city, California",City,30.2,79.1,2.69,59876,11.5,11.4,9.3,19.4,6.3,38.1,42.2,51.1,4.4,91.5,0,Medium_High,Lowest
16000US0613210,"Chino city, California",City,38.6,86,3.35,87090,6.1,6.2,7.9,6.7,9.8,61.1,31.8,38.1,4.5,90.2,0,Lowest,Medium
16000US0613214,"Chino Hills city, California",City,40.9,83.8,3.12,103473,3,2.9,1.6,3.6,6.2,67.4,24.9,32.9,4.6,98.3,0,Lowest,Lowest
16000US0613392,"Chula Vista city, California",City,37.4,75.4,3.29,87876,7.8,10.7,9.7,8.7,8.1,54.7,32.3,36.9,7.7,93.1,0,Medium_Low,Medium
16000US0613588,"Citrus Heights city, California",City,39.5,79.2,2.39,61898,10.3,13.1,5.7,11.6,6.5,37.5,25.7,36.6,9.1,89.3,0,Medium_High,Medium
16000US0614218,"Clovis city, California",City,35.6,80.5,2.9,89398,10.9,8.1,7.2,7.7,2.5,52.8,26.3,31.9,7.9,90.7,0,Medium_High,Lowest
16000US0615044,"Compton city, California",City,33.5,89,4.37,62200,19,14.8,13.4,12.1,13.3,48.4,42.6,48.6,1.7,83.3,0,Highest,Highest
16000US0616000,"Concord city, California",City,37.3,78.3,2.84,102477,7.4,13.3,8.7,9,4.4,55,30.9,37,4.6,95.3,0,Medium_Low,Lowest
16000US0616350,"Corona city, California",City,35.3,85.1,3.54,86790,3.6,12.1,9.3,8.7,9.1,61.1,35.5,42,3.5,86.8,0,Lowest,Medium
16000US0616532,"Costa Mesa city, California",City,34.9,77.1,2.87,91857,5.6,9.8,8,9.2,13.4,42,38.9,46,4,95.9,0,Lowest,Highest
16000US0617918,"Daly City city, California",City,39.7,83.4,3.37,101834,4.3,3.8,4.9,5.8,6.1,49.8,38.8,45.1,2.3,90.4,0,Lowest,Lowest
16000US0618100,"Davis city, California",City,25.8,73.1,2.55,60619,7.2,4.2,8.1,29.4,4.4,36.1,57,61,2.1,91.4,0,Medium_Low,Lowest
16000US0619766,"Downey city, California",City,36.6,92.4,3.44,74590,8.2,9.7,6.7,8,11.4,52.3,39.5,44.7,3.3,93.2,0,Medium_Low,Highest
16000US0620802,"East Los Angeles CDP, California",City,31.9,94.4,3.9,53194,16.2,25.5,21.4,17.6,17,44,48.3,53,.6,74.7,0,Highest,Highest
16000US0621712,"El Cajon city, California",City,34.9,75.5,3.12,63236,15.5,23.1,11.6,14.3,6.8,50.3,29.4,41.7,6.5,92.1,0,Highest,Medium
16000US0622020,"Elk Grove city, California",City,38.6,80.2,3.05,94971,6.2,8.1,8.2,7.7,2.6,59.5,25.8,37,5.6,94.2,0,Lowest,Lowest
16000US0622230,"El Monte city, California",City,38.2,92.1,3.62,50829,12.5,27.8,15.1,16.3,11.4,49,39.4,44.2,1.6,83.4,0,Medium_High,Highest
16000US0622804,"Escondido city, California",City,36.9,71,2.9,58157,9.9,28.7,19.9,18.3,12.7,46.9,31.8,38.5,7.9,91.8,0,Medium_Low,Highest
16000US0623182,"Fairfield city, California",City,35.3,73.7,3.1,89693,6.3,13.3,4,9.3,4.9,48.4,30.7,40.7,8.7,95,0,Lowest,Lowest
16000US0624477,"Florence-Graham CDP, California",City,31.2,92.1,4.68,52152,18.9,26.6,17.4,19.4,16.1,49.1,46.3,49.4,.9,85.5,0,Highest,Highest
16000US0624638,"Folsom city, California",City,40.1,72,2.79,119824,.7,2,4.5,4.7,4.6,62.9,24.8,31.9,6.2,94.1,0,Lowest,Lowest
16000US0624680,"Fontana city, California",City,32.2,89.7,3.79,80800,10.1,15.3,14.1,11.4,8.4,60.7,33.3,42.4,4,89.7,0,Medium_Low,Medium
16000US0626000,"Fremont city, California",City,38.9,79.7,3.08,144118,1.7,2.5,5,3.4,1.7,69.1,24.6,31.1,2.9,95,0,Lowest,Lowest
16000US0627000,"Fresno city, California",City,31.8,86.3,3.02,53161,20,32.2,18.5,23.2,8.2,39.6,39.6,46.2,4.7,84.4,0,Highest,Medium
16000US0628000,"Fullerton city, California",City,35.4,80.5,3.05,93983,6.2,11.9,6.2,9.5,6.3,56.9,31.7,39.4,3.7,93.3,0,Lowest,Lowest
16000US0629000,"Garden Grove city, California",City,40.1,84.3,3.58,72240,7,13.8,16,10.8,9,54.7,33.1,38.4,3.7,89.9,0,Medium_Low,Medium
16000US0630000,"Glendale city, California",City,40.8,73.5,2.66,68392,11.7,17.3,17.5,12.7,9.5,45.4,35.3,38.2,1.9,85.4,0,Medium_High,Medium
16000US0632548,"Hawthorne city, California",City,32.2,81.4,3.11,60361,14.8,28.9,10.5,16.9,11.3,40.2,43.3,39.3,3.2,90.8,0,Highest,Highest
16000US0633000,"Hayward city, California",City,36.5,82.8,3.26,96886,9.2,9.6,7.5,8.8,4.3,50.2,35.8,43.9,2.9,89.3,0,Medium_Low,Lowest
16000US0633182,"Hemet city, California",City,40,76.3,2.98,39653,16.1,23.2,13.4,19.1,9.5,43.3,30.1,36.9,7.5,82.8,0,Highest,Medium
16000US0633434,"Hesperia city, California",City,34.2,87.7,3.52,50271,15.3,16.7,15.9,14.1,11.6,50.3,33.5,38.7,5.8,94.6,0,Highest,Highest
16000US0636000,"Huntington Beach city, California",City,42.5,72.4,2.63,102423,3.8,15.2,6.2,8.3,4.3,50.3,32,37.2,4.9,91.8,0,Lowest,Lowest
