GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US37183,"Wake County, North Carolina",County,36.8,51.4,2.6,84215,6.1,9.3,5.2,8,8.7,51.2,31.4,36.8,5.8,93.4,0,Lowest,Medium
05000US37191,"Wayne County, North Carolina",County,37.7,70.8,2.48,44596,15,33.2,12.6,19.4,12.7,43.7,32,36.7,11,85.7,0,Highest,Highest
05000US37193,"Wilkes County, North Carolina",County,45.2,77.3,2.38,43290,12.9,20.6,13.4,14.8,14.5,49.1,21.4,30.9,5.8,78.7,0,Medium_High,Highest
05000US37195,"Wilson County, North Carolina",County,40.4,77.1,2.48,38830,19.1,38.6,21,23.7,15.2,41.6,29.7,36.4,7.2,74.3,0,Highest,Highest
16000US3702140,"Asheville city, North Carolina",City,39,49.4,2.22,52339,10.3,21.2,15.9,15.4,14.7,33.1,36.4,43.9,7.3,84.9,0,Medium_High,Highest
16000US3710740,"Cary town, North Carolina",City,39.2,37.5,2.64,106304,2.5,5.4,4.7,4.4,6.3,62.1,22.8,28.1,5.2,96.2,0,Lowest,Lowest
16000US3712000,"Charlotte city, North Carolina",City,34.2,50,2.55,63483,7.7,14.4,8.8,11.2,13,38.4,40.1,45,5.2,90.5,0,Medium_Low,Highest
16000US3714100,"Concord city, North Carolina",City,35.6,57.8,3.09,75578,7.1,5.9,12.9,6.3,11.2,53,30,36,4.7,90.4,0,Medium_Low,Highest
16000US3719000,"Durham city, North Carolina",City,34.5,53.8,2.33,65534,10.3,22.9,9.7,15.2,13.2,37.3,41.6,45.7,5.5,90.6,0,Medium_High,Highest
16000US3722920,"Fayetteville city, North Carolina",City,30.2,47.1,2.39,43789,18.2,26.8,15.4,19.3,12,35.7,33.1,46.5,17.2,88.3,0,Highest,Highest
16000US3725580,"Gastonia city, North Carolina",City,38.2,71.3,2.72,49172,17.2,14.8,9.1,10.9,11.8,46.4,34.4,34.1,8.7,80.9,0,Highest,Highest
16000US3728000,"Greensboro city, North Carolina",City,34.7,59.8,2.37,49748,14.8,29.2,15.4,19.7,10.6,35.6,43,43.4,5.9,82,0,Highest,Highest
16000US3728080,"Greenville city, North Carolina",City,28.1,76,2.32,48169,12.4,26.8,10.2,23.5,8.5,30.3,53.3,57.5,5.8,86.9,0,Medium_High,Medium
16000US3731400,"High Point city, North Carolina",City,35.9,61.9,2.62,48348,15.1,25.9,11.6,15.4,13.3,40.7,34.7,43.7,5.4,88.2,0,Highest,Highest
16000US3734200,"Jacksonville city, North Carolina",City,23.3,22.8,2.49,46374,13.6,13.2,5.7,11,11.2,48.9,19.1,62.2,19,91.9,0,Medium_High,Highest
16000US3755000,"Raleigh city, North Carolina",City,34.5,54.9,2.41,69333,8.2,13.3,7.7,10.9,10.3,38.3,40,46.8,4.8,91.5,0,Medium_Low,Highest
16000US3774440,"Wilmington city, North Carolina",City,35.9,54.3,2.16,48381,11.9,26.9,9,20.3,9.5,34.5,38.4,48.3,7.8,88,0,Medium_High,Medium
16000US3775000,"Winston-Salem city, North Carolina",City,35,65.5,2.5,44576,14.4,29.4,11.4,19.7,13.5,34.1,40.1,46,4.9,83.2,0,Highest,Highest
