GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
05000US13185,"Lowndes County, Georgia",County,30.3,57.7,2.65,45683,17.4,30.4,7.5,21.2,18,41.1,40.5,41.7,8.2,71.6,0,Highest,Highest
05000US13215,"Muscogee County, Georgia",County,34.9,61.5,2.59,46934,15,24.8,17.2,18.2,10.5,38.5,32.3,40.9,13,84.4,0,Highest,Highest
05000US13217,"Newton County, Georgia",County,35.9,67.4,2.91,57254,15.9,9.7,8.6,9.6,16,48.6,32.2,36,7.2,92.9,0,Highest,Highest
05000US13223,"Paulding County, Georgia",County,36.8,58.7,2.97,75800,11.9,6,4.9,6.2,13.6,59.1,25.5,29.3,8.7,88.8,0,Medium_High,Highest
05000US13245,"Richmond County, Georgia",County,34.7,64.4,2.81,44973,17.2,35.6,14.2,21,11,32.8,39.1,49.9,11.5,82,0,Highest,Highest
05000US13247,"Rockdale County, Georgia",County,39.2,56.8,2.75,60560,14,13,7.1,10.5,15.5,45.7,32.7,34.4,9.5,85.7,0,Medium_High,Highest
05000US13255,"Spalding County, Georgia",County,41.5,79.5,2.57,51677,11.8,28,12.8,17,14,38.1,32.1,36,7.5,77.8,0,Medium_High,Highest
05000US13285,"Troup County, Georgia",County,35.3,75.1,2.8,46198,18.1,33.8,8.2,22.4,14.5,44.4,34.8,38.3,8.6,78.6,0,Highest,Highest
05000US13295,"Walker County, Georgia",County,40.9,49.2,2.54,47856,11.7,14.5,7.5,14.2,14,49.6,20.7,31.6,7.7,82.4,0,Medium_High,Highest
05000US13297,"Walton County, Georgia",County,38.7,70.9,2.81,66176,14.8,19.2,7.5,11.1,13.8,54.2,25.8,29.5,7.4,85.7,0,Highest,Highest
05000US13313,"Whitfield County, Georgia",County,36.3,74.1,2.98,52198,8.5,18.8,12.6,12.5,16.3,49.8,27.7,37.1,5.3,84.4,0,Medium_Low,Highest
