GEOID,GEONAME,CountyCity,MedianAge,LiveInStateWhereBorn,HouseholdSize,Income,Foodstamps,People18Poverty,People65Poverty,PeopleAllPoverty,NoHealthInsurance,MarriedCoupleHousehold,WomenNeverMarried,MenNeverMarried,Veterans,HasBroadband,filter_$,FSGroups,HIGroups
16000US1245025,"Miami Beach city, Florida",City,40.5,46.6,2.2,52816,14.5,19,16.5,14.4,24.2,39.5,29.7,37.4,1.8,81.1,0,Highest,Highest
16000US1245060,"Miami Gardens city, Florida",City,36.3,83.9,3.38,43196,27,29.6,10,16.6,17.6,33.2,41,50.6,2.6,73.1,0,Highest,Highest
16000US1245975,"Miramar city, Florida",City,36.1,76.2,3.54,75079,8.7,10.2,10.4,8.4,17.4,48,40.7,44.3,1.9,85.4,0,Medium_Low,Highest
16000US1249675,"North Port city, Florida",City,47.9,31.6,2.71,56226,11.1,6.4,4.5,6.5,11.7,53.5,20.8,23.9,13.3,92.2,0,Medium_High,Highest
16000US1253000,"Orlando city, Florida",City,34.6,46.8,2.61,58819,14,29.3,11,16,13.9,34.3,42,46.3,4.1,91.7,0,Medium_High,Highest
16000US1254000,"Palm Bay city, Florida",City,43.3,38.8,2.99,54113,9.5,8.9,11.6,9.3,11.8,49.7,28,33.8,12.6,87.9,0,Medium_Low,Highest
16000US1254200,"Palm Coast city, Florida",City,51.6,26.4,2.63,60158,5.7,12.8,6.1,9.5,13.1,57.6,22.5,25.1,11.9,75.9,0,Lowest,Highest
16000US1255775,"Pembroke Pines city, Florida",City,40.7,62.2,3.01,67232,7.9,5.7,25.3,9.2,11.9,46.9,30.2,40.8,3.4,84.9,0,Medium_Low,Highest
16000US1256825,"Pine Hills CDP, Florida",City,32.4,67.2,3.86,46155,30,23.6,16.1,17.4,17.4,45.2,42.3,51.8,2.9,79.7,0,Highest,Highest
16000US1257425,"Plantation city, Florida",City,41.6,47.9,2.6,71977,5.6,11.9,5.6,7.3,11.1,43.1,29.6,33.1,5.4,94.7,0,Lowest,Highest
16000US1257900,"Poinciana CDP, Florida",City,34.2,24.7,3.58,46898,24.5,20.8,2,16.1,14.3,51.6,43.1,38.1,3.8,85.9,0,Highest,Highest
16000US1258050,"Pompano Beach city, Florida",City,46.3,50.3,2.44,53663,11.9,24.2,16.7,16.2,22.6,35.2,25.1,44,4.9,81.2,0,Medium_High,Highest
16000US1258350,"Port Charlotte CDP, Florida",City,50.4,25.5,2.69,49547,12.8,31.6,12,17.5,13.5,51.2,23,34.1,10.2,86.2,0,Medium_High,Highest
16000US1258715,"Port St. Lucie city, Florida",City,42.3,41.9,2.94,68041,8.4,4.2,4.9,6,10.4,56.3,26.6,29.8,9.7,94.6,0,Medium_Low,Highest
16000US1260950,"Riverview CDP, Florida",City,37.8,39.7,2.7,73631,8.8,8.7,11.7,8.5,11.1,49.5,25.4,27.2,11,94.6,0,Medium_Low,Highest
16000US1263000,"St. Petersburg city, Florida",City,43.8,43.6,2.35,61631,7.6,9.5,9.4,10.6,10.5,38.3,32.7,38.2,9.5,89.7,0,Medium_Low,Highest
16000US1268350,"Spring Hill CDP, Florida",City,45.4,30.8,2.57,55461,13.7,14.8,7.2,9.8,10.8,52.1,20.9,29.1,12.4,94.3,0,Medium_High,Highest
16000US1269700,"Sunrise city, Florida",City,44.6,53.5,2.4,53321,10.5,15.1,24.7,13.3,14.4,37.2,33.1,30.2,5,87.8,0,Medium_High,Highest
16000US1270600,"Tallahassee city, Florida",City,26.8,63.4,2.33,46964,12.7,28.8,14.4,27.4,9.7,24.9,56.1,59.9,4.1,90,0,Medium_High,Medium
16000US1270675,"Tamarac city, Florida",City,49.5,42.5,2.54,44400,13.4,20.1,16,13.9,10.9,34.4,25.9,37.7,7.6,82.1,0,Medium_High,Highest
16000US1271000,"Tampa city, Florida",City,36,52.7,2.52,57709,15,21.6,22.7,17,11.7,35.5,38.3,43.3,6.4,90.4,0,Highest,Highest
16000US1271569,"The Hammocks CDP, Florida",City,38.6,71.9,3.34,72195,7.2,8.8,14.5,10.1,10.9,64.7,29.5,33.4,1.4,97.4,0,Medium_Low,Highest
16000US1271625,"The Villages CDP, Florida",City,72.6,1.4,1.83,68233,1.4, , , , ,66.4,5.9,3.1,21.1,92.9,0,Lowest, 
16000US1272145,"Town 'n' Country CDP, Florida",City,36.1,45.8,2.96,56400,9.3,13.7,18.6,14,17.4,43.9,35.1,37.3,4.6,94.6,0,Medium_Low,Highest
16000US1275812,"Wellington village, Florida",City,44.6,33.7,2.91,85886,6,3.9,5,4.7,9.5,61.5,25.5,29,4.7,95.5,0,Lowest,Medium
16000US1275875,"Wesley Chapel CDP, Florida",City,37.6,44.6,3.03,89507,6.5,13.6,6.6,8.5,8.3,63.4,20.1,27.5,9.8,97.6,0,Lowest,Medium
16000US1276582,"Weston city, Florida",City,42.3,50.5,3.49,125105,2.7,.3,12.6,2.5,4.4,77.2,27.6,25,3, ,0,Lowest,Lowest
16000US1276600,"West Palm Beach city, Florida",City,36.9,55.2,2.61,51089,14.6,28.4,13.9,16,15.2,35.6,40.6,46.2,6.1,86.4,0,Highest,Highest
